,superhost_t
2,1
3,1
4,1
5,1
7,1
8,1
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,1
19,1
20,0
22,1
23,1
24,1
25,0
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,0
34,1
35,1
37,0
39,0
40,1
41,1
42,1
43,1
44,0
45,0
46,0
47,0
49,1
50,1
51,0
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,0
60,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
73,0
74,0
75,0
76,1
77,1
78,1
79,0
80,0
81,0
82,1
83,0
84,0
86,0
87,1
88,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
103,0
104,1
105,1
107,1
109,0
110,1
111,1
114,1
116,0
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,0
129,1
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,1
139,1
141,0
142,1
143,0
144,0
146,0
147,1
149,1
150,0
151,1
152,0
153,0
154,0
157,0
158,0
159,0
161,1
162,1
163,0
164,0
165,1
167,1
168,0
169,0
170,0
171,0
173,0
174,0
175,0
176,1
177,0
179,1
180,1
181,0
182,1
184,1
185,1
186,1
189,1
191,1
192,0
196,0
197,0
198,1
199,0
200,0
201,1
202,0
203,1
205,0
207,0
208,0
210,0
211,0
212,0
215,0
216,1
217,0
218,1
219,0
220,1
221,1
222,1
223,0
224,1
225,1
228,0
229,0
230,0
233,0
234,0
235,0
237,1
238,1
241,1
242,0
244,0
247,1
248,0
250,0
252,0
253,1
255,1
257,0
260,0
261,0
262,1
263,1
264,0
265,0
266,0
267,1
270,0
271,0
272,1
273,1
274,0
275,1
276,1
277,0
278,0
280,1
281,0
282,1
283,1
284,1
285,0
286,1
292,1
293,1
294,1
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,1
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,1
317,1
318,0
319,1
320,0
322,1
323,0
324,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
338,1
339,1
340,1
341,0
342,0
343,1
344,0
345,0
346,1
347,0
349,1
350,0
351,0
352,1
354,0
355,1
356,0
357,1
358,1
359,0
361,1
362,1
365,1
366,1
369,1
370,1
371,0
372,0
374,1
375,0
376,1
377,1
378,1
379,1
380,0
382,1
383,1
386,0
387,0
388,0
389,0
390,1
392,1
393,1
394,1
396,1
397,0
398,1
399,0
400,1
401,1
402,1
403,1
404,1
406,1
407,1
409,0
410,1
411,1
412,1
414,0
415,0
