,name,host_id,host_name,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_ct,days_as_host,bathrooms,hrr
2,private room @Senju area,5686404,Yukiko,Superhost,2.0,35.74437,139.79739,Private room in house,Private room,2,1.0,0.0,30000.0,1,90,270,72,4.56,4.78,4.61,4.84,4.84,4.34,4.62,0.8,30,3034,1.0,1.0
3,Home stay with a Japanese language teacher family.,6018145,Mari,Superhost,3.0,35.69233,139.70851,Private room in house,Private room,3,1.0,3.0,11312.0,1,1124,365,252,4.9,4.9,4.94,4.95,4.93,4.85,4.92,2.8,43,3012,1.0,1.0
4,Stay with host Cozy private room Senju area,5686404,Yukiko,Superhost,2.0,35.74475,139.79731,Private room in house,Private room,2,1.0,2.0,3000.0,2,30,88,95,4.71,4.87,4.75,4.92,4.88,4.67,4.75,1.01,32,3034,1.0,1.0
5,Unique stay! New&1min to the subway,6809418,Yume,Superhost,1.0,35.65111,139.72165,Entire house,Entire home/apt,3,1.0,1.0,32000.0,4,1125,335,102,4.96,4.97,4.98,4.96,4.89,4.98,4.91,1.54,50,2963,1.0,1.0
7,Pine House 2 Bed Room + 2 Toilets,6606987,K & N,Superhost,3.0,35.73987,139.85176,Entire house,Entire home/apt,4,2.0,4.0,14857.0,4,30,327,339,4.93,4.94,4.97,4.96,4.96,4.73,4.88,3.86,31,2976,2.5,1.0
8,3rd floor penthouse @ heart of TKO,7103955,Masaharu,Superhost,11.0,35.70263,139.74147,Entire apartment,Entire home/apt,2,1.0,1.0,48000.0,3,180,218,162,4.94,4.94,4.96,4.97,4.96,4.94,4.78,2.14,19,2947,1.0,0.78
9,Renewal! Solar power/Car space/near to park,5710367,David,Non-Superhost,7.0,35.62039,139.69983,Entire house,Entire home/apt,11,3.0,11.0,25000.0,2,90,111,225,4.76,4.68,4.5,4.88,4.94,4.66,4.71,2.34,39,3032,4.0,1.0
10,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,Non-Superhost,0.0,35.72415,139.70151,Private room in house,Private room,2,1.0,2.0,4000.0,3,1125,87,225,4.7,4.78,4.63,4.85,4.88,4.75,4.74,2.67,19,2925,2.0,1.0
11,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,Non-Superhost,0.0,35.7241,139.70343,Private room in house,Private room,2,1.0,2.0,4000.0,3,1125,326,220,4.67,4.74,4.56,4.85,4.89,4.73,4.69,2.39,18,2925,2.0,1.0
12,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,Superhost,8.0,35.7362,139.85178,Entire apartment,Entire home/apt,5,1.0,5.0,17571.0,3,30,336,304,4.93,4.94,4.96,4.94,4.96,4.73,4.92,3.79,31,2916,1.5,1.0
13,Shinjuku Sharehouse Private Tatami room  8F,8142772,Min & Haru,Superhost,13.0,35.69857,139.704,Private room in apartment,Private room,3,1.0,0.0,40000.0,2,30,270,156,4.85,4.8,4.75,4.91,4.94,4.81,4.75,1.64,28,2898,1.0,1.0
14,Shinjuku Sharehouse Private Tatami room & Balcony,8142772,Min & Haru,Superhost,13.0,35.69848,139.70432,Private room in apartment,Private room,3,1.0,0.0,40000.0,2,1125,270,130,4.84,4.83,4.73,4.9,4.94,4.88,4.77,1.36,27,2898,1.0,1.0
15,Shinjuku ShareHouse Dormitory5  with Balcony,8142772,Min & Haru,Superhost,13.0,35.69847,139.70433,Shared room in apartment,Shared room,9,1.0,9.0,50000.0,2,30,270,168,4.81,4.82,4.73,4.92,4.95,4.82,4.76,1.8,26,2898,1.0,1.0
16,Shinjuku ShareHouse Dormitory6  with Balcony,8142772,Min & Haru,Superhost,13.0,35.69848,139.70433,Shared room in apartment,Shared room,9,1.0,0.0,50000.0,2,1125,270,141,4.81,4.8,4.85,4.96,4.97,4.88,4.76,1.52,26,2898,1.0,1.0
19,Home stay with a Japanese language teacher family,6018145,Mari,Superhost,3.0,35.6944,139.70727,Private room in house,Private room,2,1.0,2.0,11310.0,1,1124,336,245,4.91,4.87,4.91,4.94,4.93,4.9,4.93,2.61,43,3012,1.0,1.0
20,30sec Sta.nearSUMO AKB Shinjuku BD,8660693,Soichi,Non-Superhost,10.0,35.68955,139.81605,Private room in apartment,Private room,1,1.0,1.0,2000.0,30,1125,140,115,4.39,4.48,4.18,4.79,4.62,4.69,4.54,1.52,24,2875,1.0,1.0
22,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,Superhost,2.0,35.63858,139.64624,Entire condominium,Entire home/apt,10,3.0,7.0,20000.0,2,180,248,105,4.9,4.91,4.86,4.98,4.98,4.7,4.91,1.19,39,2792,2.0,1.0
23,"Roppongi Villa,7min/ROPPONGIstatn.",10415965,Azabu,Superhost,3.0,35.65819,139.72722,Entire house,Entire home/apt,14,4.0,9.0,181357.0,3,365,20,170,4.74,4.83,4.67,4.8,4.89,4.87,4.6,1.93,41,2786,2.5,1.0
24,Stunning home in central Tokyo,11046932,The Dawson Family,Superhost,1.0,35.65094,139.73486,Entire house,Entire home/apt,9,4.0,9.0,100000.0,7,1000,83,240,4.92,4.91,4.83,4.93,4.94,4.85,4.81,3.37,45,2753,2.5,1.0
25,"Blissful Retreat near Shinjuk, Koenji, Shimokita!",9203725,Memz And Taki,Non-Superhost,5.0,35.67273,139.65974,Entire apartment,Entire home/apt,5,1.0,3.0,17714.0,1,365,365,9,4.89,4.89,4.78,4.89,4.89,4.67,4.67,0.17,30,2847,1.0,1.0
